Layers,Neurons,batch,optimiser,keras,epochs,dropout,train %,activation,RMSE,VAL_RMSE,Objective,mae,val_mae,R2,R2_v,final
1,16,10,Adam,normal,200,0.1,0.05,elu,0.270634054,0.535591019,0.596887464,0.26719928,0.3573149,0.926757209,0.570865007,0.748811108
2,"(16, 12)",10,Adam,normal,200,0.1,0.05,elu,0.217032622,0.54920529,0.616881044,0.23803486,0.34096318,0.952896841,0.543044005,0.747970423
1,16,25,Adam,uniform,150,0,0.05,tanh,0.31185594,0.551252719,0.568445671,0.24452534,0.38743567,0.902745873,0.590198877,0.746472375
1,20,10,Adam,normal,200,0.5,0.05,elu,0.387730982,0.569524494,0.521372262,0.37814736,0.39324564,0.849664686,0.642662943,0.746163814
2,"(16, 12)",10,Adam,uniform,150,0,0.05,tanh,0.192703207,0.47617347,0.665561661,0.15124317,0.3685961,0.962865474,0.528221227,0.745543351
2,"(18, 14)",10,Adam,normal,200,0.2,0.05,elu,0.271155013,0.571778588,0.578533199,0.30306187,0.32548147,0.926474959,0.561989839,0.744232399
2,"(16, 12)",10,Adam,normal,200,0.1,0.05,relu,0.279674295,0.568984134,0.575670786,0.30769956,0.41529852,0.921782289,0.5660429,0.743912594
2,"(16, 12)",10,Adam,uniform,150,0.1,0.05,elu,0.259875174,0.475299836,0.632412495,0.27443457,0.3528503,0.932464894,0.555155434,0.743810164
2,"(16, 12)",10,Adam,normal,150,0.1,0.05,elu,0.298383548,0.536487189,0.582564632,0.30725288,0.42258567,0.910967258,0.575892383,0.74342982
2,"(16, 12)",10,Adam,uniform,200,0.1,0.05,elu,0.221734109,0.451367127,0.663449382,0.21996145,0.3395273,0.950833985,0.534395822,0.742614904
2,"(16, 12)",25,Adam,uniform,150,0.1,0.05,elu,0.367010783,0.524867715,0.554060751,0.32468742,0.35168406,0.865303085,0.619540165,0.742421625
1,18,10,Adam,normal,200,0.1,0.25,elu,0.232889739,0.725315733,0.520897264,0.22980204,0.54774964,0.945762369,0.537694008,0.741728189
1,16,10,Adam,uniform,150,0.1,0.25,tanh,0.259723665,0.719580522,0.510347907,0.3113944,0.5452034,0.932543618,0.549820821,0.741182219
1,18,10,Adam,normal,200,0.1,0.05,elu,0.258558597,0.524051431,0.608694986,0.24413621,0.38071775,0.933147452,0.548739326,0.740943389
2,"(16, 12)",10,Adam,normal,200,0.1,0.05,relu,0.281564447,0.581903749,0.568265902,0.2866314,0.37612885,0.920721462,0.558252327,0.739486895
1,8,10,Adam,uniform,200,0,0.05,elu,0.318906969,0.529196064,0.575948484,0.23840158,0.36327666,0.898298345,0.578881494,0.73858992
1,19,10,Adam,uniform,150,0.2,0.25,tanh,0.280343374,0.714061172,0.502797727,0.3339784,0.53419363,0.921407592,0.554930878,0.738169235
2,"(16, 12)",10,Adam,uniform,150,0.1,0.05,elu,0.293176495,0.551691473,0.577566016,0.2759231,0.3850797,0.914047543,0.560586319,0.737316931
1,16,10,Adam,uniform,200,0,0.25,tanh,0.148080963,0.76145121,0.545233913,0.103791125,0.589209,0.978072028,0.494731335,0.736401682
1,16,10,Adam,uniform,200,0,0.25,tanh,0.187132413,0.748498606,0.53218449,0.13085392,0.56552297,0.96498146,0.506195328,0.735588394
1,16,10,Adam,uniform,200,0,0.25,tanh,0.176081541,0.755021415,0.534448522,0.12025247,0.5683,0.968995291,0.501474819,0.735235055
1,9,10,Adam,normal,150,0.1,0.05,elu,0.346113496,0.573282915,0.540301794,0.31341216,0.40756598,0.880205448,0.589991178,0.735098313
1,16,10,Adam,normal,150,0,0.05,elu,0.217063984,0.557263675,0.612836171,0.17518589,0.40284958,0.952883227,0.516848586,0.734865906
1,16,10,Adam,normal,200,0,0.05,elu,0.215232189,0.603396231,0.59068579,0.16577573,0.4075246,0.953675105,0.515059503,0.734367304
1,15,10,Adam,normal,200,0.1,0.05,elu,0.26458011,0.494336402,0.620541744,0.2302717,0.36353838,0.929997365,0.538701524,0.734349445
1,18,10,Adam,normal,200,0,0.3,tanh,0.161963965,0.827234047,0.505400994,0.10838362,0.622022,0.973767674,0.494760262,0.734263968
2,"(18, 16)",10,Adam,uniform,150,0,0.05,tanh,0.141848675,0.534546934,0.661802195,0.11644846,0.38873333,0.979878953,0.488151891,0.734015422
1,15,10,Adam,uniform,200,0,0.25,tanh,0.156648689,0.75957776,0.541886776,0.117987074,0.56692183,0.975461188,0.489586606,0.732523897
1,18,10,Adam,normal,200,0.5,0.05,elu,0.352351625,0.579358007,0.534145184,0.38036102,0.40663725,0.875848332,0.587612652,0.731730492
2,"(16, 7)",10,Adam,uniform,200,0.1,0.05,elu,0.265308676,0.51902008,0.607835622,0.24778748,0.3598761,0.929611306,0.533676027,0.731643667
1,18,10,Adam,normal,200,0.3,0.2,tanh,0.293551788,0.697687914,0.504380149,0.34686667,0.5635918,0.913827348,0.548459751,0.731143549
2,"(14, 7)",10,Adam,uniform,150,0,0.05,elu,0.277302417,0.476692975,0.623002304,0.214774,0.32958242,0.92310337,0.536774275,0.729938822
1,8,10,Adam,uniform,200,0.4,0.05,elu,0.366230509,0.569552511,0.53210849,0.4082324,0.3855658,0.865875214,0.592891924,0.729383569
2,"(16, 12)",10,Adam,uniform,200,0,0.05,elu,0.228645879,0.563500449,0.603926836,0.1740511,0.40774602,0.947721062,0.509352664,0.728536863
1,15,10,Adam,normal,200,0,0.25,sigmoid,0.288311817,0.728797308,0.491445437,0.20573917,0.5528334,0.916876296,0.537724615,0.727300456
1,18,10,Adam,normal,200,0.1,0.25,tanh,0.219429572,0.756483282,0.512043573,0.25202003,0.56930304,0.951850663,0.500178766,0.726014714
1,16,10,Adam,uniform,150,0.2,0.3,tanh,0.307597597,0.784026843,0.45418778,0.3252665,0.59189427,0.905383719,0.54641629,0.725900004
1,18,10,Adam,uniform,150,0.1,0.25,tanh,0.23719894,0.753081075,0.504859993,0.25137946,0.5771224,0.943736663,0.506847126,0.725291894
1,18,10,Adam,normal,200,0.1,0.25,tanh,0.226165669,0.754608142,0.509613094,0.2523822,0.5702755,0.94884909,0.500923265,0.724886177
1,18,10,Adam,normal,200,0.1,0.05,elu,0.226303029,0.535191454,0.619252758,0.22919893,0.36780393,0.948786939,0.50035079,0.724568865
1,8,10,Adam,uniform,200,0.2,0.05,elu,0.276094701,0.504163689,0.609870805,0.2825317,0.355937,0.923771716,0.524989836,0.724380776
1,18,10,Adam,uniform,100,0.4,0.05,elu,0.456891554,0.591573336,0.475767555,0.42464876,0.39884204,0.791250108,0.656839839,0.724044973
1,18,10,Adam,normal,150,0.1,0.05,relu,0.340637092,0.595471637,0.531945636,0.32101852,0.38109267,0.883966372,0.56401423,0.723990301
1,12,10,RMSprop,uniform,200,0,0.25,tanh,0.240294155,0.753669365,0.50301824,0.17594741,0.58453166,0.942258719,0.50151045,0.721884584
2,"(15, 16)",10,Adam,normal,150,0,0.3,elu,0.240055667,0.831957448,0.463993443,0.18340364,0.5680832,0.942373277,0.500639595,0.721506436
2,"(16, 12)",10,Adam,normal,200,0,0.2,elu,0.263844755,0.720825756,0.507664745,0.16274425,0.5549532,0.930385945,0.511656418,0.721021182
2,"(16, 12)",10,Adam,uniform,200,0,0.05,elu,0.275112159,0.63703164,0.5439281,0.1784747,0.4098834,0.9243133,0.517669282,0.720991291
1,6,10,Adam,uniform,200,0.2,0.25,elu,0.3435909,0.710125556,0.473141772,0.31782338,0.534189,0.881945294,0.558275712,0.720110503
2,"(20, 4)",10,RMSprop,normal,200,0.1,0.05,elu,0.332819499,0.49834262,0.58441894,0.36458272,0.3848436,0.889231181,0.550670921,0.719951051
